Entry ID,Comments,ID submitter user,Locality,Region,Subregion,Agriculture,Site ,Site description,Context ID,Context description,Altitude,Latitute,Longitude,Exact Site location,Radius,Individual ID,Burial type,Taxon,Taxon common name,Sex,Age category individual,Min. age individual,Max. age individual,Sample type,Min age (95%),Max age (95%),Dating method,14C,14C unc,Period_tags,Period_2,d13C,d13C_err,d15N,d15N_err,Collagen yield,,%C,%N,C/N,Reference,Link,DOI,Publication date
600,,Hudson & Uchiyama,"Tochihara, Nagano",Chubu,Central Highlands,N,Tochihara,Rockshelter,,,923,36.0339,138.3053,,,KA-2,,Homo sapiens,Human,M,Adult,,,Ribs etc,-7740,-7520,Radiocarbon,,8580,Initial Jomon,,-20.4,0.5,6,0.5,,,44.9,16.2,3.23,"Yoneda, M. et al. (2002) Radiocarbon and stable isotope analyses on the Earliest Jomon skeletons from the Tochibara rockshelter, Nagano, Japan. Radiocarbon 44: 549-557.",https://www.cambridge.org/core/journals/radiocarbon/article/radiocarbon-and-stable-isotope-analyses-on-the-earliest-jomon-skeletons-from-the-tochibara-rockshelter-nagano-japan/7E3EDB8E2B47A7E4FD22294FAD0EFC3B,doi:10.1017/S0033822200031908,2002
601,,Hudson & Uchiyama,"Tochihara, Nagano",Chubu,Central Highlands,N,Tochihara,Rockshelter,,,923,36.0339,138.3053,,,KA-4,,Homo sapiens,Human,F,Adult,,,Ribs etc,-7610,-7490,Radiocarbon,,8530,Initial Jomon,,-19.7,0.5,7.6,0.5,,,45.1,15.8,3.33,"Yoneda, M. et al. (2002) Radiocarbon and stable isotope analyses on the Earliest Jomon skeletons from the Tochibara rockshelter, Nagano, Japan. Radiocarbon 44: 549-557.",https://www.cambridge.org/core/journals/radiocarbon/article/radiocarbon-and-stable-isotope-analyses-on-the-earliest-jomon-skeletons-from-the-tochibara-rockshelter-nagano-japan/7E3EDB8E2B47A7E4FD22294FAD0EFC3B,doi:10.1017/S0033822200031908,2002
602,,Hudson & Uchiyama,"Tochihara, Nagano",Chubu,Central Highlands,N,Tochihara,Rockshelter,,,923,36.0339,138.3053,,,KA-7,,Homo sapiens,Human,F,Adult,,,Ribs etc,-7580,-7380,Radiocarbon,,8430,Initial Jomon,,-19.8,0.5,7.1,0.5,,,46.2,16.2,3.33,"Yoneda, M. et al. (2002) Radiocarbon and stable isotope analyses on the Earliest Jomon skeletons from the Tochibara rockshelter, Nagano, Japan. Radiocarbon 44: 549-557.",https://www.cambridge.org/core/journals/radiocarbon/article/radiocarbon-and-stable-isotope-analyses-on-the-earliest-jomon-skeletons-from-the-tochibara-rockshelter-nagano-japan/7E3EDB8E2B47A7E4FD22294FAD0EFC3B,doi:10.1017/S0033822200031908,2002
599,,Hudson & Uchiyama,"Tochihara, Nagano",Chubu,Central Highlands,N,Tochihara,Rockshelter,,,923,36.0339,138.3053,,,KA-1,,Homo sapiens,Human,M,Adult,,,Ribs etc,-7540,-7330,Radiocarbon,,8370,Initial Jomon,,-19.7,0.5,7.7,0.5,,,43.1,15.1,3.34,"Yoneda, M. et al. (2002) Radiocarbon and stable isotope analyses on the Earliest Jomon skeletons from the Tochibara rockshelter, Nagano, Japan. Radiocarbon 44: 549-557.",https://www.cambridge.org/core/journals/radiocarbon/article/radiocarbon-and-stable-isotope-analyses-on-the-earliest-jomon-skeletons-from-the-tochibara-rockshelter-nagano-japan/7E3EDB8E2B47A7E4FD22294FAD0EFC3B,doi:10.1017/S0033822200031908,2002
603,,Hudson & Uchiyama,"Tochihara, Nagano",Chubu,Central Highlands,N,Tochihara,Rockshelter,,,923,36.0339,138.3053,,,KA-8,,Homo sapiens,Human,F,Adult,,,Ribs etc,-7520,-7180,Radiocarbon,,8300,Initial Jomon,,-19.8,0.5,6.9,0.5,,,46,16.7,3.21,"Yoneda, M. et al. (2002) Radiocarbon and stable isotope analyses on the Earliest Jomon skeletons from the Tochibara rockshelter, Nagano, Japan. Radiocarbon 44: 549-557.",https://www.cambridge.org/core/journals/radiocarbon/article/radiocarbon-and-stable-isotope-analyses-on-the-earliest-jomon-skeletons-from-the-tochibara-rockshelter-nagano-japan/7E3EDB8E2B47A7E4FD22294FAD0EFC3B,doi:10.1017/S0033822200031908,2002
604,,Hudson & Uchiyama,"Tochihara, Nagano",Chubu,Central Highlands,N,Tochihara,Rockshelter,,,923,36.0339,138.3053,,,KA-10,,Homo sapiens,Human,F,Adult,,,Ribs etc,-7470,-7140,Radiocarbon,,8260,Initial Jomon,,-19.8,0.5,7.4,0.5,,,45.3,16.5,3.21,"Yoneda, M. et al. (2002) Radiocarbon and stable isotope analyses on the Earliest Jomon skeletons from the Tochibara rockshelter, Nagano, Japan. Radiocarbon 44: 549-557.",https://www.cambridge.org/core/journals/radiocarbon/article/radiocarbon-and-stable-isotope-analyses-on-the-earliest-jomon-skeletons-from-the-tochibara-rockshelter-nagano-japan/7E3EDB8E2B47A7E4FD22294FAD0EFC3B,doi:10.1017/S0033822200031908,2002
1249,,Hudson,"Kitamura, Nagano",Chubu,Central Highlands,N,Kitamura,,,,550,36.1941,137.5543,,,KITA-26,SH-735,Homo sapiens,Human,F,Young adult,25,30,,-3500,-2500,Cross dating,,,Middle Jomon,,-21.3,0.5,,0.5,,,,,,"Kitamura iseki (Nagano Prefecture Board of Education, 1993)",,,1993
1252,,Hudson,"Kitamura, Nagano",Chubu,Central Highlands,N,Kitamura,,,,550,36.1941,137.5543,,,KITA-33,SH-775,Homo sapiens,Human,M,Middle adult,30,40,,-3500,-2500,Cross dating,,,Middle Jomon,,-20.7,0.5,6.3,0.5,,,,,,"Kitamura iseki (Nagano Prefecture Board of Education, 1993)",,,1993
1253,,Hudson,"Kitamura, Nagano",Chubu,Central Highlands,N,Kitamura,,,,550,36.1941,137.5543,,,KITA-36,SH-796,Homo sapiens,Human,M,,,,,-3500,-2500,Cross dating,,,Middle Jomon,,-19.8,0.5,,0.5,,,,,,"Kitamura iseki (Nagano Prefecture Board of Education, 1993)",,,1993
1254,,Hudson,"Kitamura, Nagano",Chubu,Central Highlands,N,Kitamura,,,,550,36.1941,137.5543,,,KITA-38,SH-803,Homo sapiens,Human,M,Young adult,25,30,,-3500,-2500,Cross dating,,,Middle Jomon,,-19.9,0.5,6.4,0.5,,,,,,"Kitamura iseki (Nagano Prefecture Board of Education, 1993)",,,1993
