No.,Archaeological site name,Region ,Subregion,Location,"Latitude, degrees north","Longitude, degrees east",Associated cultural period,Agriculture,Analysed pottery type,Pottery type and phase,Number of sherds studoed,Number,Oryza sativa,Panicum miliaceum,Setaria italica,Reference (no.),Frequency_OS_x1000,Frequency_PM,Frequency_SI,Frequency_rice vs  millet,
93,Metobagawa,Chubu,Central Highlands,Matsumoto City,36.22805,137.969046,Early Yayoi,Y,Fusenmon,,9364,9364,0,0,0,1,0.00,0.00,0.00,#DIV/0!,縄文後期から晩期後半資料
95,Hanareyama,Chubu,Central Highlands,Azumino City,36.332527,137.890842,Early Yayoi,Y,Fusenmon,Fusenmon 2/3,5784,5784,0,4,2,1,0.00,0.69,0.35,0.00000,縄文後期から晩期後半資料
96,Yazaki,Chubu,Central Highlands,Iida City,35.464917,137.829765,Early Yayoi,Y,Fusenmon,Fusenmon 2,1320,1320,0,2,41,17,0.00,1.52,31.06,0.00000,
98,Ishigyo,Chubu,Central Highlands,Iida City,35.464917,137.829765,Early Yayoi,Y,Fusenmon,Fusenmon 2/4,360,360,1,26,34,17,2.78,72.22,94.44,0.01639,
99,Gongendoumae,Chubu,Central Highlands,Iida City,35.464917,137.829765,Early Yayoi,Y,Fusenmon,Fusenmon 2/4,didn't count,,0,16,9,17,#DIV/0!,#DIV/0!,#DIV/0!,0.00000,
100,Oshuku,Chubu,Central Highlands,"Shimoina Gun, Takamori Cho",35.53277,137.876429,Early Yayoi,Y,Fusenmon,Fusenmon 2/4,182,182,0,2,13,6,0.00,10.99,71.43,0.00000,
101,Miyamada,Chubu,Central Highlands,"Shimoina Gun, Takamori Cho",35.53277,137.876429,Early Yayoi,Y,Fusenmon,Fusenmon 2/4,42,42,0,9,5,6,0.00,214.29,119.05,0.00000,
102,Kitakata-kitanohara,Chubu,Central Highlands,Iida City,35.464917,137.829765,Early Yayoi,Y,Fusenmon,Fusenmon 2/4,133,133,0,19,4,6,0.00,142.86,30.08,0.00000,
103,Eriana,Chubu,Central Highlands,Matsumoto City,36.22805,137.969046,Early Yayoi,Y,Fusenmon,Fusenmon 2/4,56,56,0,35,12,1,0.00,625.00,214.29,0.00000,"103,104との合計観察点数"
105,Ishigo,Chubu,Central Highlands,Matsumoto City,36.22805,137.969046,Early Yayoi,Y,Fusenmon,Fusenmon 3,7,7,0,0,,38,0.00,0.00,0.00,#DIV/0!,圧痕が付着と思われる土器点数
106,Tochigahara,Chubu,Central Highlands,Omachi City,36.515991,137.85755,Early Yayoi,Y,Fusenmon,Fusenmon 3,1297,1297,0,22,32,1,0.00,16.96,24.67,0.00000,
107,Ishinotsubo,Chubu,Central Highlands,Nirasaki City,35.703184,138.454826,Early Yayoi,Y,Fusenmon,Fusenmon 2/3,302,302,0,4,0,23,0.00,13.25,0.00,0.00000,縄文時代から平安時代の圧痕確認土器
108,Ishinotsubo,Chubu,Central Highlands,Nirasaki City,35.703184,138.454826,Early Yayoi,Y,Fusenmon,Fusenmon 4,,,1,0,0,23,#DIV/0!,#DIV/0!,#DIV/0!,1.00000,
109,Nakamichi***,Chubu,Central Highlands,Nirasaki City,35.703184,138.454826,Early Yayoi,Y,Fusenmon,Fusenmon 2/3,71,71,0,18,4,23,0.00,253.52,56.34,0.00000,圧痕確認土器
110,Yashikidaira,Chubu,Central Highlands,Hokuto City,35.862099,138.315393,Early Yayoi,Y,Fusenmon,Fusenmon 2,no data,,0,1,5,23,#DIV/0!,#DIV/0!,#DIV/0!,0.00000,
111,Yashikidaira,Chubu,Central Highlands,Hokuto City,35.862099,138.315393,Early Yayoi,Y,Fusenmon,Fusenmon 2/3,no data,,0,1,2,23,#DIV/0!,#DIV/0!,#DIV/0!,0.00000,
113,Sannokuraochiai,Chubu,Central Highlands,Takasaki City,36.4166,138.8,Early Yayoi,Y,Fusenmon,Fusenmon 2,128,128,0,1,0,28,0.00,7.81,0.00,0.00000,
114,Sannokuraochiai,Chubu,Central Highlands,Takasaki City,36.4166,138.8,Early Yayoi,Y,Fusenmon,Fusenmon 3,,,0,1,5,1,#DIV/0!,#DIV/0!,#DIV/0!,0.00000,
120,Fukuzawa,Chubu,Central Highlands,Shiojiri City,36.111369,137.95219,Early Yayoi,Y,Fusenmon,Fusenmon 3/4,1232,1232,2,32,78,1,1.62,25.97,63.31,0.01786,
121,Shimosakaizawa,Chubu,Central Highlands,Shiojiri City,36.111369,137.95219,Early Yayoi,Y,Fusenmon,Fusenmon 4,"2,167","2,167",0,1,0,1,0.00,0.46,0.00,0.00000,"122,123と重複、縄文後期末から弥生前期末"
