Database Individual number,Site_code,Sample_ID,Site,Region,Subregion,Agriculture,Prefecture,Long,Lat,Phase,Phase II,Period Code,Absolute chronology?,Typology,Form,Ceramic type,Concentration,d13C16,d13C18,bigD,TMTD,Pristanic,Phytanic,Percent_SRR,EH,APAA,EH_RM,APAA_C20_18,APAA_C20,Aquatic,Miliacin,PS,TAGS,SE
ENC003,ASA,ASA001IAE,Asahi,Chubu,Tokai,yes,Aichi,35.13,136.51,Late Yayoi,Late Yayoi (V),,,Unknown,Cooking vessel,ceramic powder,8,,,,no,no,yes,32.9,,no,no ,,no,no,no,1.13,no,yes
ENC004,ASA,ASA002IAE,Asahi,Chubu,Tokai,yes,Aichi,35.13,136.51,Late Yayoi,Late Yayoi (V),,,Unknown,Cooking vessel,ceramic powder,8,,,,no,no,no,,,no,no ,,no,no,no,1.06,no,yes
ENC005,ASA,ASA003IAE,Asahi,Chubu,Tokai,yes,Aichi,35.13,136.51,Middle Yayoi,Middle Yayoi (II),,,Jokonmon,Cooking vessel,ceramic powder,50,-25.316,-26.704,-1.388,no,no,no,,,no,no ,,no,no,no,0.61,no,
ENC006,ASA,ASA004IAE,Asahi,Chubu,Tokai,yes,Aichi,35.1331,136.5121,Middle Yayoi,Middle Yayoi (IV),,,Jokonmon,Cooking vessel,ceramic powder,10,,,,no,no,yes,57.0,,no,no ,,no,no,no,1.00,yes,yes
ENC007,ASA,ASA005IAE,Asahi,Chubu,Tokai,yes,Aichi,35.1331,136.5121,Early to Middle Yayoi,Early (I) to Middle (II) Yayoi,,,Jokonmon,Cooking vessel,ceramic powder,1660,-27.03,-26.231,0.799,no,no,no,,8.9,yes,yes ,0.052,yes,yes,no,1.39,no,
ENC008,ASA,ASA006IAE,Asahi,Chubu,Tokai,yes,Aichi,35.1331,136.5121,Middle Yayoi,Middle Yayoi (III-IV),,,Ongagawa,Cooking vessel,ceramic powder,10,,,,no,no,no,,,no,no ,,no,no,no,1.58,no,
ENC009,ASA,ASA007IAE,Asahi,Chubu,Tokai,yes,Aichi,35.1331,136.5121,Final Yayoi to Kofun,Final Yayoi to Kofun,,,Unknown,Cooking vessel,ceramic powder,13,,,,no,no,yes,47.9,,no,no ,,no,no,no,2.02,no,yes
ENC010,ASA,ASA008IAE,Asahi,Chubu,Tokai,yes,Aichi,35.1331,136.5121,Middle Yayoi,Middle Yayoi (III),,,Ongagawa,Cooking vessel,ceramic powder,7,,,,no,no,yes,58.1,7.6,yes,yes,,no,no,no,0.26,no,
ENC011,ASA,ASA009IAE,Asahi,Chubu,Tokai,yes,Aichi,35.1331,136.5121,Middle Yayoi,Middle Yayoi (III),,,Ongagawa,Cooking vessel,ceramic powder,2,,,,no,no,no,,,no,no ,,no,no,no,,no,
ENC012,ASA,ASA010IAE,Asahi,Chubu,Tokai,yes,Aichi,35.1331,136.5121,Late Yayoi,Late Yayoi (V),,,Unknown,Jar,ceramic powder,5,,,,yes,no,no,,,no,no ,,no,no,no,0.17,no,yes
ENC013,ASA,ASA011IAE,Asahi,Chubu,Tokai,yes,Aichi,35.1331,136.5121,Middle Yayoi,Middle Yayoi (II),,,Jokonmon,Cooking vessel,ceramic powder,146,-25.962,-26.06,-0.098,yes,no,yes,76.0,11.4,yes,yes,0.046,yes,no,no,1.20,no,
ENC014,ASA,ASA012IAE,Asahi,Chubu,Tokai,yes,Aichi,35.1331,136.5121,Final Yayoi to Kofun,Final Yayoi to Kofun,,,Unknown,Bowl,ceramic powder,4,-26.327,-26.649,-0.322,no,yes,no,,,no,no ,,no,no,no,,no,
ENC015,ASA,ASA013IAE,Asahi,Chubu,Tokai,yes,Aichi,35.1331,136.5121,Final Yayoi to Kofun,Final Yayoi to Kofun,,,Unknown,Cooking vessel,ceramic powder,3,,,,yes,yes,no,,,no,no ,,no,no,no,,no,yes
ENC016,ASA,ASA014IAE,Asahi,Chubu,Tokai,yes,Aichi,35.1331,136.5121,Middle Yayoi,Middle Yayoi (IV),,,Unknown,Cooking vessel,ceramic powder,121,-27.409,-28.055,-0.646,no,no,no,,,no,no ,,no,no,no,1.87,no,
