Class,Catagory ,Sample identifier ,Type,Taxa,d13C16,d13C18,BigD,Reference
Boar,Wild non-ruminant ,,Wild boar,Sus scrofa,-26.13,-26.57,-0.44,Craig et al. 2013
Boar,Wild non-ruminant ,,Wild boar,Sus scrofa,-27.71,-27.28,0.43,Craig et al. 2013
Boar,Wild non-ruminant ,,Wild boar,Sus scrofa,-28.33,-27.21,1.12,Lucquin et al 2016
Boar,Wild non-ruminant ,,Wild boar,Sus scrofa,-28.13,-28.87,-0.74,Lucquin et al 2016
Boar,Wild non-ruminant ,,Wild boar,Sus scrofa,-27.75,-27.90,-0.15,Lucquin et al 2016
Boar,Wild non-ruminant ,,Wild boar,Sus scrofa,-27.79,-29.22,-1.43,Lucquin et al 2016
Boar,Wild non-ruminant ,,Wild boar,Sus scrofa,-29.49,-29.57,-0.08,Lucquin et al 2016
Boar,Wild non-ruminant ,,Wild boar,Sus scrofa,-28.94,-29.50,-0.56,Lucquin et al 2016
Boar,Wild non-ruminant ,,Wild boar,Sus scrofa,-28.27,-27.42,0.85,Lucquin et al 2016
Boar,Wild non-ruminant ,,Wild boar,Sus scrofa,-28.24,-27.27,0.97,Miyata et al 2015
Boar,Wild non-ruminant ,,Wild boar,Sus scrofa,-28.27,-27.37,0.90,Lucquin et al 2016
Boar,Wild non-ruminant ,,Wild boar,Sus scrofa,-28.65,-27.68,0.97,Lucquin et al 2016
Boar,Wild non-ruminant ,,Wild boar,Sus scrofa,-28.58,-27.79,0.79,Lucquin et al 2016
Boar,Wild non-ruminant ,,Wild boar,Sus scrofa,-28.30,-27.20,1.10,Horiuchi et al. 2015
Boar,Wild non-ruminant ,,Wild boar,Sus scrofa,-28.40,-27.10,1.30,Horiuchi et al. 2015
Boar,Wild non-ruminant ,,Wild boar,Sus scrofa,-26.40,-26.90,-0.50,Horiuchi et al. 2015
Boar,Wild non-ruminant ,,Wild boar,Sus scrofa,-28.10,-27.40,0.70,Horiuchi et al. 2015
Deer,Wild ruminant ,,Yezo sika deer,Cervus nippon yesoensis,-28.74,-28.80,-0.06,Lucquin et al 2016
Deer,Wild ruminant ,,Sika deer,Cervus nippon,-28.58,-30.21,-1.63,Lucquin et al 2016
Deer,Wild ruminant ,,Yezo sika deer,Cervus nippon yesoensis,-31.12,-33.46,-2.34,Lucquin et al 2016
Deer,Wild ruminant ,,Japanese serow,Capricornis crispus,-32.46,-34.11,-1.65,Lucquin et al 2016
Deer,Wild ruminant ,,Sika deer,Cervus nippon,-28.97,-32.53,-3.56,Lucquin et al 2016
Deer,Wild ruminant ,,Deer,,-29.05,-32.57,-3.52,Miyata et al 2015
Deer,Wild ruminant ,,Japanese serow,Capricornis crispus,-32.44,-33.74,-1.30,Lucquin et al 2016
Deer,Wild ruminant ,,Sika deer,Cervus nippon,-32.83,-36.03,-3.20,Lucquin et al 2016
Deer,Wild ruminant ,,Sika deer,Cervus nippon,-29.00,-32.40,-3.40,Horiuchi et al. 2015
Deer,Wild ruminant ,,Yezo sika deer,Cervus nippon yesoensis,-24.70,-26.60,-1.90,Horiuchi et al. 2015
Plant,C3 plant,,Walnut,,-30.59,-31.80,-1.21,Miyata et al 2015
Plant,C3 plant,,Acorn,Quercus sp.,-35.15,-32.77,2.38,Miyata et al 2015
Plant,C3 plant,,Chestnut,Castanea sp.,-34.64,-33.54,1.10,Miyata et al 2015
Plant,C3 plant,,Acorn,Quercus sp.,-37.67,-35.71,1.96,Miyata et al 2015
Plant,C3 plant,,Chesnut,Castanea sp.,-29.43,-28.71,0.72,Heron et al 2016
Plant,C3 plant,,Horse chesnut,Aesculus turbinata,-31.82,-29.56,2.26,Heron et al 2016
Plant,C3 plant,,Acorn (Fagus crenata blume),Fagus crenata,-27.60,-28.35,-0.75,Heron et al 2016
Plant,C3 plant,,Acorn,Quercus sp.,-33.70,-34.14,-0.44,Lucquin et al 2016
Plant,C3 plant,,Chesnut,Castanea sp.,-33.35,-30.61,2.74,Heron et al 2016
Plant,C3 plant,,Horse chesnut,Aesculus turbinata,-35.14,-34.94,0.20,Heron et al 2016
Plant,C3 plant,,Horse chesnut,Aesculus turbinata,-32.51,-33.11,-0.60,Heron et al 2016
Plant,C3 plant,,acorn,Quercus sp.,-32.38,-33.33,-0.95,Lucquin et al 2016
Plant,C3 plant,,acorn,Quercus sp.,-34.77,-35.64,-0.87,Lucquin et al 2016
Plant,C3 plant,,acorn,Quercus sp.,-32.81,-34.32,-1.51,Lucquin et al 2016
Plant,C3 plant,,acorn,Quercus sp.,-31.81,-33.71,-1.90,Lucquin et al 2016
Plant,C3 plant,,Japanese chestnut,Castanea crenata,-35.10,-32.70,2.40,Horiuchi et al. 2015
Plant,C3 plant,,White oak,Quercus myrsinifolia,-34.70,-33.40,1.30,Horiuchi et al. 2015
Plant,C3 plant,,Japanese stone oak,Lithocarpus edulis,-37.60,-35.70,1.90,Horiuchi et al. 2015
Plant,C3 plant,,Japanese walnut,Juglans ailantifolia,-31.50,-31.40,0.10,Horiuchi et al. 2015
Marine,Marine,,Sea bream,Gymnocranius euanus,-22.10,-21.77,0.33,Craig et al. 2013
Marine,Marine,,Sea bream,Gymnocranius euanus,-22.36,-22.19,0.17,Craig et al. 2013
Marine,Marine,,Roackfish,Sebastes sp.,-23.38,-22.76,0.62,Craig et al. 2013
Marine,Marine,,Flathead mullet,Mugil cephalus,-21.60,-20.97,0.63,Craig et al. 2013
Marine,Marine,,Croaker,Genyonemus lineatus,-21.45,-21.09,0.36,Craig et al. 2013
Marine,Marine,,Tuna,Thunnus sp.,-25.25,-24.91,0.34,Lucquin et al 2016
Marine,Marine,,Tuna,Thunnus sp.,-26.59,-25.07,1.52,Lucquin et al 2016
Marine,Marine,,Short fin pilot whale,Globicephala macrorhynchus,-22.58,-22.96,-0.38,Lucquin et al 2016
Marine,Marine,,Dolphin,,-19.39,-20.30,-0.91,Miyata et al 2015
Marine,Marine,,Whale,,-24.52,-21.74,2.78,Miyata et al 2015
Marine,Marine,,Seal,,-24.64,-23.10,1.54,Miyata et al 2015
Marine,Marine,,Babylonia,Babylonia sp.,-23.25,-22.78,0.47,Lucquin et al 2016
Marine,Marine,,Ruditapes,Venerupis philippinarum,-24.72,-23.68,1.04,Lucquin et al 2016
Marine,Marine,,Pilot Whale,Globicephala sp.,-23.26,-23.51,-0.25,Lucquin et al 2016
Marine,Marine,,Saltwater clam,Meretrixlvsoria,-25.20,-23.70,1.50,Horiuchi et al. 2015
Marine,Marine,,Horned turban,Turbo cornutus,-22.90,-21.20,1.70,Horiuchi et al. 2015
Marine,Marine,,Squid,Loligo bleekeri,-24.40,-23.80,0.60,Horiuchi et al. 2015
Marine,Marine,,Finless porpoise,Neophocaena phocaenoides,-19.40,-20.00,-0.60,Horiuchi et al. 2015
Marine,Marine,,Whale,Ziphiidae,-24.90,-23.00,1.90,Horiuchi et al. 2015
Marine,Marine,,Sea lion,Eumetopias jubatus,-24.50,-21.60,2.90,Horiuchi et al. 2015
Marine,Marine,,Japanese jack mackerel,Trachurus japonicus,-23.90,-23.60,0.30,Horiuchi et al. 2015
Marine,Marine,,Japanese jack mackerel,Trachurus japonicus,-24.00,-25.30,-1.30,Horiuchi et al. 2015
