Database Individual number,Site_code,Sample ID,Site,Region,Subregion,Prefecture,Long,Lat,Phase,Typology,Form,AE,AE TMS,SE,Total lipid yield after AE (μg g-1 ),Range of Saturated fatty acids (Fas),Unsaturated fatty acids,P/S,Branched chain fatty acids,α-ωdicarboxylic acids (diacids),Alkanes,Terpenes,Miliacin,Levoglucosane,α-Tocopherol,TMTD,Pristanic acid,Phytanic acid,SRR,ω-( o-alkylphenyl)alkanoic acids (APAAs),APAA_EH,18_20,d13C16,d13C18,bigD
ENC005,ASA,ASA003IAE,Asahi(MY),Chubu,Tokai,Aichi,35.22,136.86,Middle Yayoi (II),Jokonmon,Cooking vessel,X,,,50,C12:0-C30:0,"C18:1, C20:1",0.61,"C15i, a; C17i, a",C9-C16,,,,,,no,no,no,,,,,-25.316,-26.704,-1.388
ENC006,ASA,ASA004IAE,Asahi(MY),Chubu,Tokai,Aichi,35.22,136.86,Middle Yayoi (IV),Jokonmon,Cooking vessel,X,X,X,10,C14:0-C34:0,C18:1,1,,,,,,no,no,no,no,yes,57,,,,,,
ENC007,ASA,ASA005IAE,Asahi(MY),Chubu,Tokai,Aichi,35.22,136.86,Early (I) to Middle (II) Yayoi,Jokonmon,Cooking vessel,X,,,1660,C11:0-C26:0,"C18:1, C20:1",1.39,"C15i, a; C17i, a",C8-C14:0,,,,,,no,no,no,,"APAA16, APAA18, APAA20, APAA22",8.9,0.052,-27.03,-26.231,0.799
ENC008,ASA,ASA006IAE,Asahi(MY),Chubu,Tokai,Aichi,35.22,136.86,Middle Yayoi (III-IV),Ongagawa,Cooking vessel,X,X,,10,C13:0-C34:0,C18:1,1.58,"C15i, a; C17i, a",C10-C17,C26-C32 ,Methyl-DHA (tr),,,,no,no,no,,,,,,,
ENC010,ASA,ASA008IAE,Asahi(MY),Chubu,Tokai,Aichi,35.22,136.86,Middle Yayoi (III),Ongagawa,Cooking vessel,X,,,7,C12:0-C34:0,,0.26,"C15i, a; C17i, a",C9-C14:0,C26-C31 ,,,,,no,no,yes,58.1,,7.6,,,,
ENC011,ASA,ASA009IAE,Asahi(MY),Chubu,Tokai,Aichi,35.22,136.86,Middle Yayoi (III),Ongagawa,Cooking vessel,X,,,2,,,,,,,,,,,no,no,no,,,,,,,
ENC013,ASA,ASA011IAE,Asahi(MY),Chubu,Tokai,Aichi,35.22,136.86,Middle Yayoi (II),Jokonmon,Cooking vessel,X,,,146,C10:0-C28:0,C18:1,1.2,"C15i, a; C17i, a","C8,-C11",,,,,,yes,no,yes,76,"APAA16, APAA18, APAA20",11.4,0.046,-25.962,-26.06,-0.098
ENC016,ASA,ASA014IAE,Asahi(MY),Chubu,Tokai,Aichi,35.22,136.86,Middle Yayoi (IV),Unknown,Cooking vessel,X,X,,121,C12:0-C32:0,C18:1,1.87,,C9-C12,C29-C30 ,,,,,no,no,no,,,,,-27.409,-28.055,-0.646
ENC017,ASA,ASA015IAE,Asahi(MY),Chubu,Tokai,Aichi,35.22,136.86,Middle Yayoi (III-IV),Jokonmon,Cooking vessel,X,,,7,C14:0-C38:0,C16:1; C18:1,1.11,"C15i, a; C17i, a",,,Methyl-DHA; 7-oxo-DHA,yes,,,no,yes,no,,,,,-27.653,-28.053,-0.4
ENC018,ASA,ASA016IAE,Asahi(MY),Chubu,Tokai,Aichi,35.22,136.86,Middle Yayoi (II),Ongagawa,Cooking vessel,X,,,7,C14:0-C32:0,C18:1,0.94,"C17i, a",,,,,,,no,no,no,,,,,,,
ENC019,ASA,ASA017IAE,Asahi(MY),Chubu,Tokai,Aichi,35.22,136.86,Middle Yayoi (III),Ongagawa,Cooking vessel,X,,,44,C12:0-C36:0,C18:1,1.19,"C15i, a; C17i, a",,,,,,,no,yes,yes,41.9,,,,-27.659,-27.399,0.26
ENC020,ASA,ASA018IAE,Asahi(MY),Chubu,Tokai,Aichi,35.22,136.86,Middle Yayoi (II),Jokonmon,Cooking vessel,X,,,57,C13:0-C30:0,"C18:1, C20:1, C22:1",1.17,"C15i, a; C17i, a; C18i",C9-C13; C20,C27-C33,,,,,yes,no,yes,78.3,"APAA16 (tr),APAA18, APAA20",4.7,0.113,-26.616,-26.89,-0.274
ENC021,ASA,ASA019IAE,Asahi(MY),Chubu,Tokai,Aichi,35.22,136.86,Middle Yayoi (II),Unknown,Cooking vessel,X,,,15,C13:0-C30:0,"C16:1; C18:1, C22:1",0.98,"C15i, a; C16i; C17i, a; C18i, a",C10-C13,C27-C33 ,,,,,no,no,yes,82.6,"APAA16, APAA18, APAA20",3.4,0.098,-28.153,-28.761,-0.608
ENC022,ASA,ASA020IAE,Asahi(MY),Chubu,Tokai,Aichi,35.22,136.86,Middle Yayoi (II),Jokonmon,Cooking vessel,X,,X,9,C14:0-C26:0,"C16:1; C18:1, C22:1",1.02,"C15i, a; C16i; C17i, a",,C23-C33,Methyl-DHA (tr),,no,no,no,no,no,,,,,-27.868,-28.634,-0.766
ENC023,ASA,ASA021IAE,Asahi(EY),Chubu,Tokai,Aichi,35.22,136.86,Early Yayoi (I),Ongagawa,Cooking vessel,X,,,5,,,,,,,,,,,no,no,yes,,,,,,,
ENC024,ASA,ASA022IAE,Asahi(EY),Chubu,Tokai,Aichi,35.22,136.86,Early Yayoi (I),Ongagawa,Cooking vessel,X,,X,43,C14:0-C28:0,"C16:1; C18:1, C22:1",0.8,"C15i, a; C17i, a",C13,C23-C33 ,Methyl-DHA,,no,no,no,no,no,,,,,-30.305,-29.899,0.406
ENC025,ASA,ASA023IAE,Asahi(EY),Chubu,Tokai,Aichi,35.22,136.86,Early Yayoi (I),Ongagawa,Bowl,X,,X,39,C14:0-C34:0,"C16:1; C18:1, C22:1",0.99,"C15i, a; C16i; C17i, a; C18i, a",C11-C13,C26-C33,Methyl-DHA (tr),,no,no,no,no,yes,80,,,,,,
ENC026,ASA,ASA024IAE,Asahi(MY),Chubu,Tokai,Aichi,35.22,136.86,Middle Yayoi (II),Jokonmon,Cooking vessel,X,,X,24,C14:0-C34:0,C18:1; C20:1; C22:1; C24:1; C26:1; C28:1,1.82,"C15i, a; C17i, a",C13,C27-C31,,,no,no,no,no,yes,82.3,,,,-20.529,-24.544,-4.015
ENC027,ASA,ASA025IAE,Asahi(EY),Chubu,Tokai,Aichi,35.22,136.86,Early Yayoi (I),Ongagawa,Cooking vessel,X,,,9,C14:0-C34:0,C18:1,0.62,"C15i, a; C16i; C17i, a; C18i",,C26-C33,,,,,no,no,yes,77.8,,,,-29.47,-29.46,0.01
