"LabCode","SamplingLocation"
"----","H-27, No.3, H-57, No.2, H-18, No.7, H-44, No.6　3ｃ2ｂ, H-21, No.5, H-52, No.4, H-57, No.1, 炭窯１　埋土層, 第3調査区3地点　Ⅳb層　C14-3, 第1調査区5地点泥層中部　C14-5, 第1調査区5地点泥層最下部　C14-6, 第3調査区7地点　Ⅳb層　C14-4, 第3調査区1地点　Ⅲc層最上部付近に倒木していた丸太材　C14-2, 第3調査区1地点　Ⅲc層底部　C14-1, 炭窯２　埋土層, 燃焼室内炭層　14C-4, 灰原SW　14C-5, 焚口畦炭層　14C-6, 燃焼室内炭層　14C-3, 焚口畦炭層　14C-2, SK2120, 燃焼室内炭層　14C-1"
"09R0912","試料A　Aトレンチ7区純貝層,重量約10g"
"09R0913","試料B　Aトレンチ7区純貝層,重量約10g"
"09R0914","試料C　Aトレンチ7区純貝層,重量約3g"
"1134","第1住居址　炉"
"1135","第2住居址　炉"
"1136","N-10グリッド　配石面"
"117675","試料名:№1　土塁基底部　木樋"
"125535","試料名:№1　C4区SC2"
"125536","試料名:№2　C4区SC1"
"125537","試料名:№3　C6区貝塚"
"125538","試料名:№4　D1区SA1"
"125539","試料名:№5　D1区SA2"
"136469","試料名:№6　C3区SC7"
"141485","№1,6号土壙"
"141486","№2,6号土壙"
"1477","SI1　造り付け竃内の土壌"
"150403","5層上部　試料名(16403)No.65"
"150404","5層上部　試料名(16404)No.66"
"160561","測定番号:160561"
"166701","試料名:№1　2-2区,土器群,炭化物1"
"166702","試料名:№2　3-1区,6号住居,C-38"
"166703","試料名:№3　4-3区,7号住居,炭-6"
"166704","試料名:№4　4区,8号住居,炭化物1"
"166705","試料名:№5　焼土内炭化物,炭-3"
"2323","SK01"
"2324","SK02　底面"
"2326","SK02　層位2"
"2327","SK02　層位1"
"2328","SK02　層位1"
"2329","SI15 Pit6"
"2330","SI15 Pit16"
"2334","SD22"
"2335","SK24　層位1上面"
"2336","SD38"
"2337","SKP120"
"2338","SKP152"
"2603","SW392"
"2605","SX397AB"
"2606","SW405　確認面"
"2607","SW409"
"2610","SE450"
"2611","SX461"
"2612","SW470"
"2613","沢Ⅰ"
"2614","試料番号:1　SB-1　柱材"
"2617","SI288　埋土"
"2618","SK186  床面"
"2619","SK282　埋土"
"2621","SKF228　埋土"
"2623","SKF358　埋土"
"2624","SN149　埋土"
"2625","SN82　埋土"
"2626","試料番号:3　ST-1　垂木？"
"2804","試料番号:2　SB-2　柱材"
"2805","SW393焚口出入り口"
"2806","SW411"
"2807","SKF181　埋土"
"2808","SKF264　埋土"
"2811","SW419"
"2958","Ⅳ層　3号焼土(焼土3)"
"2959","P-7区Ⅳ層　焼土9"
"2962","竪穴建物2号内"
"2966","試料番号:2D6区1･2号大型土坑内"
"8053","S-10(CDZ)"
"86216","94-1,2区　18-1層　試料番号geo95-1208"
"98J-C001","1号住居跡炉内出土"
"AAA-50014","第1トレンチ西壁　S28　4d層"
"aED-28573","SD107　1層"
"aED-28574","SX410　K-26-21"
"Bet-227049","試料番号:№14　第8次"
"Beta-03704","№6　SB6003EP4"
"Beta-03705","№7　SB6003EP5-1"
"Beta-03706","№8　SB6003EP5-2"
"Beta-100179","第Ⅱ文化層　5層　灰集中DA55, U-39-C55b"
"Beta-100180","第Ⅳ文化層　土坑覆土　土坑Pit12b, U-39-C12b"
"Beta-100648","試料名:№1　第10地点､α層"
"Beta-100649","試料名:№2　第10地点､β層"
"Beta-100650","試料名:№1　B1区K'19グリッド　Ⅲ層下面"
"Beta-100651","試料名:№2　B1区K'19グリッド　Ⅳ層上面"
"Beta-100658","HP1"
"Beta-100659","HP2"
"Beta-100660","HP3"
"Beta-100661","HP4"
"Beta-100662","HP8"
"Beta-100671","95次　12層下部"
"Beta-100672","95次　17層"
"Beta-100716","ⅡH52床"
"Beta-101076","試料名:№1　土壙3内"
"Beta-101078","4号墳屍床"
"Beta-101079","4号墳屍床"
"Beta-101080","4号墳屍床"
"beta-101211","7H-07"
"Beta-101224","4号住居"
"Beta-101225","6号住居"
"Beta-101226","RZ01"
"Beta-101748","SKI137"
"Beta-101750","SK376"
