"ID","SiteName","Region","Location","Latitude","Longitude","Period","PotteryType","PotteryPhase","N","Notes","O.sativa.abundance","O.sativa.proportion","O.sativa.presence","P.miliaceum.abundance","P.miliaceum.proportion","P.miliaceum.presence","S.italica.abundance","S.italica.proportion","S.italica.presence","Millets.abundance","Millets.presence"
1,"Fukuda midden","Chugoku","Kurashiki City",34.578848,133.766674,"Late Half Middle Jomon - First Half Final Jomon",NA,NA,8008,"NA ; Counts: 8008",0,0,FALSE,0,0,FALSE,0,0,FALSE,0,FALSE
2,"Oishi","Northern Kyushu","Bungoono City",32.984188,131.590692,"Late Jomon",NA,NA,284,"NA ; Counts: 284",0,0,FALSE,0,0,FALSE,0,0,FALSE,0,FALSE
3,"Wakudoishi","Southern Kyushu","Kikuchi Gun, Ozu City",32.876564,130.87303,"Late Jomon",NA,NA,1061,"NA ; Counts: 1061",0,0,FALSE,0,0,FALSE,0,0,FALSE,0,FALSE
4,"Kamikaseda","Southern Kyushu","Minamisatsuma City, Kaseda",32.4201,130.3214,"Late Jomon",NA,NA,1,"NA ; Counts: 1",0,0,FALSE,0,0,FALSE,0,0,FALSE,0,FALSE
5,"Enokihara","Southern Kyushu","Kanoya City",31.3782,130.852,"Final Jomon",NA,NA,590,"NA ; Counts: 590",0,0,FALSE,0,0,FALSE,0,0,FALSE,0,FALSE
6,"Shimizutennozan","Tokai","Shizuoka City",34.995536,138.331487,"Late Jomon - End of Early Yayoi",NA,NA,5726,"NA ; Counts: 5726",0,0,FALSE,0,0,FALSE,0,0,FALSE,0,FALSE
7,"Toriihara","Southern Kyushu","Kumamoto City",32.794546,130.692896,"Late Jomon/Final Jomon",NA,NA,761,"NA ; Counts: 761",0,0,FALSE,0,0,FALSE,0,0,FALSE,0,FALSE
8,"Babagawa","Kinki","Higashiosaka City",34.662778,135.572867,"Final Jomon",NA,NA,2733,"NA ; Counts: 2733",0,0,FALSE,0,0,FALSE,0,0,FALSE,0,FALSE
9,"Chiamigaito*","Central Highlands","Kiryu City",36.374733,139.34966,"Final Jomon",NA,NA,4096,"NA ; Counts: 4096",0,0,FALSE,1,0.000244140625,TRUE,0,0,FALSE,1,TRUE
10,"Shimofuda","Kanto","Chofu City",35.652341,139.546324,"Final Jomon - Early Yayoi",NA,NA,11392,"NA ; Counts: 11392",0,0,FALSE,0,0,FALSE,0,0,FALSE,0,FALSE
11,"Eriana","Central Highlands","Matsumoto City",36.22805,137.969046,"Late Jomon -  Final Jomon",NA,NA,56,"NA ; Counts: 56",0,0,FALSE,0,0,FALSE,0,0,FALSE,0,FALSE
12,"Shinohara","Kinki","Kobe City",34.650884,135.065325,"Final Jomon",NA,NA,921,"NA ; Counts: 921",0,0,FALSE,0,0,FALSE,0,0,FALSE,0,FALSE
13,"Fukuda midden","Chugoku","Kurashiki City",34.563283,133.679804,"Final Jomon",NA,NA,NA,"NA ; Counts: overlap with no.1",0,NA,FALSE,0,NA,FALSE,0,NA,FALSE,0,FALSE
14,"Nakayama midden","Chugoku","Hiroshima City",34.392777,132.457525,"Final Jomon",NA,NA,167,"NA ; Counts: 167",0,0,FALSE,0,0,FALSE,0,0,FALSE,0,FALSE
15,"Iwata","Chugoku","Kumage Gun, Hirao Cho",33.942067,132.076943,"Final Jomon",NA,NA,7779,"NA ; Counts: 7779",0,0,FALSE,0,0,FALSE,0,0,FALSE,0,FALSE
16,"Aota","Hokuriku","Shibata City",37.9833,139.3667,"Final Jomon",NA,NA,44,"NA ; Counts: 44",0,0,FALSE,0,0,FALSE,0,0,FALSE,0,FALSE
17,"Itaya III","Chugoku","Iishi Gun, Iinan Cho",34.9934,132.7168,"Final Jomon","Tottaimon","Tottaimon 1",NA,"NA ; Counts: no data",1,NA,TRUE,0,NA,FALSE,0,NA,FALSE,0,FALSE
18,"Etsuji","Northern Kyushu","Kasuya City",33.620388,130.49735,"Final Jomon","Tottaimon","Tottaimon 1",NA,"NA ; Counts: no data",0,NA,FALSE,0,NA,FALSE,1,NA,TRUE,1,TRUE
19,"Ishiiiriguchi","Northern Kyushu","Takeda City",33.0691,131.3812,"Final Jomon","Tottaimon","Tottaimon 1",NA,"NA ; Counts: no data",0,NA,FALSE,0,NA,FALSE,1,NA,TRUE,1,TRUE
20,"Funagatani","Shikoku","Matsuyama City",33.845905,132.754063,"Final Jomon","Tottaimon","Tottaimon 1",2125,"NA ; Counts: 2125",0,0,FALSE,0,0,FALSE,0,0,FALSE,0,FALSE
21,"Obuchi","Shikoku","Matsuyama City",33.845905,132.754063,"Final Jomon","Tottaimon","Tottaimon 1",1908,"NA ; Counts: 1908",0,0,FALSE,0,0,FALSE,0,0,FALSE,0,FALSE
22,"Osayuki","Northern Kyushu","Kitakyushu City",33.88708,130.88629,"Final Jomon","Tottaimon","Tottaimon 1",NA,"NA ; Counts: no data",0,NA,FALSE,0,NA,FALSE,0,NA,FALSE,0,FALSE
23,"Nabatake","Northern Kyushu","Karatsu City",33.436224,129.977365,"Initial Yayoi","Tottaimon","Tottaimon 2",600,"NA ; Counts: 600",1,0.00166666666666667,TRUE,0,0,FALSE,4,0.00666666666666667,TRUE,4,TRUE
24,"Magarita","Northern Kyushu","Itoshima City",33.558209,130.201818,"Initial Yayoi","Tottaimon","Tottaimon 2",10,"NA ; Counts: 10",2,0.2,TRUE,0,0,FALSE,0,0,FALSE,0,FALSE
25,"Etsuji","Northern Kyushu","Kasuya City",33.620388,130.49735,"Initial Yayoi","Tottaimon","Tottaimon 2",NA,"NA ; Counts: no data",2,NA,TRUE,0,NA,FALSE,0,NA,FALSE,0,FALSE
26,"Hashimoto-Ichoda","Northern Kyushu","Fukuoka City",33.596383,130.410767,"Initial Yayoi","Tottaimon","Tottaimon 2",NA,"NA ; Counts: no data",21,NA,TRUE,2,NA,TRUE,5,NA,TRUE,7,TRUE
27,"Kaminakadan","Southern Kyushu","Soo Gun, Sueyoshi Cho",31.633446,131.024278,"End of Final Jomon - Initial Yayoi","Tottaimon","Tottaimon 2",NA,"NA ; Counts: no data",1,NA,TRUE,0,NA,FALSE,0,NA,FALSE,0,FALSE
28,"Agata","Shikoku","Imabari City",34.066667,133,"End of Final Jomon - Initial Yayoi","Tottaimon","Tottaimon 2",232,"NA ; Counts: 232",1,0.00431034482758621,TRUE,0,0,FALSE,0,0,FALSE,0,FALSE
29,"Kamigo","Shikoku","Niihama City",33.930957,133.278779,"End of Final Jomon - Initial Yayoi","Tottaimon","Tottaimon 2",NA,"NA ; Counts: no data",1,NA,TRUE,0,NA,FALSE,0,NA,FALSE,0,FALSE
30,"Kuchisakai","Kinki","Itami City",34.784348,135.40091,"End of Final Jomon - Initial Yayoi","Tottaimon","Tottaimon 2",1,"NA ; Counts: 1",1,1,TRUE,0,0,FALSE,0,0,FALSE,0,FALSE
31,"Itazuke","Northern Kyushu","Fukuoka City",33.596383,130.410767,"Early Yayoi","Tottaimon","Tottaimon 5",2037,"NA ; Counts: 2037",8,0.0039273441335297,TRUE,0,0,FALSE,0,0,FALSE,0,FALSE
32,"Kurotsuchi","Southern Kyushu","Miyakonojo City",31.76594,131.0921,"End of Final Jomon - Initial Yayoi","Tottaimon","Tottaimon 2/3",1420,"NA ; Counts: 1420",5,0.00352112676056338,TRUE,0,0,FALSE,10,0.00704225352112676,TRUE,10,TRUE
33,"Kurotsuchi","Southern Kyushu","Miyakonojo City",31.76594,131.0921,"Early Yayoi",NA,NA,NA,"NA ; Counts: NA",0,NA,FALSE,0,NA,FALSE,1,NA,TRUE,1,TRUE
34,"Kurotsuchi","Southern Kyushu","Miyakonojo City",31.76594,131.0921,"Middle Yayoi",NA,NA,NA,"NA ; Counts: NA",0,NA,FALSE,0,NA,FALSE,1,NA,TRUE,1,TRUE
35,"Sakamoto B","Southern Kyushu","Miyakonojo City",31.76594,131.0921,"End of Final Jomon - Initial Yayoi","Tottaimon","Tottaimon 2/3",507,"NA ; Counts: 507",1,0.0019723865877712,TRUE,0,0,FALSE,0,0,FALSE,0,FALSE
36,"Sakamoto B","Southern Kyushu","Miyakonojo City",31.76594,131.0921,"Middle Yayoi",NA,NA,NA,"NA ; Counts: NA",1,NA,TRUE,0,NA,FALSE,0,NA,FALSE,0,FALSE
37,"Hoshihara","Southern Kyushu","Miyakonojo City",31.76594,131.0921,"Final Jomon - Middle Yayoi",NA,NA,2084,"NA ; Counts: 2084",0,0,FALSE,0,0,FALSE,1,0.000479846449136276,TRUE,1,TRUE
38,"Kaminakadan","Southern Kyushu","Soo Gun, Sueyoshi Cho",31.633446,131.024278,"End of Final Jomon - Initial Yayoi","Tottaimon","Tattaimon 3",NA,"NA ; Counts: no data",0,NA,FALSE,0,NA,FALSE,1,NA,TRUE,1,TRUE
39,"Inarizako","Southern Kyushu","Shibushi City",31.477514,131.0998,"End of Final Jomon - Initial Yayoi","Tottaimon","Tottaimon 2/3",NA,"NA ; Counts: no data",0,NA,FALSE,0,NA,FALSE,1,NA,TRUE,1,TRUE
40,"Mori III","Chugoku","Iishi Gun, Iinan Cho",34.993423,132.716775,"Early Yayoi","Tottaimon","Tottaimon 4/5",NA,"NA ; Counts: no data",1,NA,TRUE,1,NA,TRUE,NA,NA,TRUE,NA,TRUE
41,"Santatani I","Chugoku","Izumo City",35.359779,132.754273,"End of Final Jomon - Initial Yayoi","Tottaimon","Tottaimon 3",NA,"NA ; Counts: no data",0,NA,FALSE,1,NA,TRUE,0,NA,FALSE,1,TRUE
42,"Nishikawatsu","Chugoku","Matsue City",35.448574,133.135838,"End of Final Jomon - Initial Yayoi","Tottaimon","Tottaimon 3",NA,"NA ; Counts: no data",0,NA,FALSE,0,NA,FALSE,3,NA,TRUE,3,TRUE
